ts;Time;temp1;temp2;Package-id-0;Core-0-temp;Core-1-temp;Thread-0-freq;Thread-1-freq;Thread-2-freq;Thread-3-freq;
1556093941;2019-04-24-12:19;+27.8;+29.8;+37.0;+36.0;+36.0;819.984;815.184;821.759;819.999;
1556093945;2019-04-24-12:19;+27.8;+29.8;+37.0;+36.0;+35.0;800.005;800.003;800.004;800.004;
1556093948;2019-04-24-12:19;+27.8;+29.8;+61.0;+61.0;+49.0;3499.998;3499.965;3500.002;3500.001;
1556093951;2019-04-24-12:19;+27.8;+29.8;+37.0;+37.0;+37.0;1700.039;1700.008;1700.008;1700.010;
1556093954;2019-04-24-12:19;+27.8;+29.8;+36.0;+34.0;+35.0;800.005;800.000;800.006;800.006;
1556093957;2019-04-24-12:19;+27.8;+29.8;+36.0;+35.0;+35.0;900.016;900.003;900.003;900.005;
1556093960;2019-04-24-12:19;+27.8;+29.8;+36.0;+35.0;+34.0;800.024;800.036;800.015;800.025;
1556093963;2019-04-24-12:19;+27.8;+29.8;+50.0;+49.0;+50.0;3500.008;3500.015;3499.998;3500.004;
1556093966;2019-04-24-12:19;+27.8;+29.8;+47.0;+47.0;+47.0;3500.002;3499.986;3500.001;3500.001;
1556093969;2019-04-24-12:19;+27.8;+29.8;+37.0;+36.0;+36.0;800.013;800.004;800.011;800.065;
1556093972;2019-04-24-12:19;+27.8;+29.8;+58.0;+58.0;+50.0;3500.023;3500.028;3500.000;3500.034;
1556093975;2019-04-24-12:19;+27.8;+29.8;+36.0;+35.0;+35.0;810.887;810.449;810.204;809.458;
1556093978;2019-04-24-12:19;+27.8;+29.8;+42.0;+42.0;+40.0;1733.726;1719.756;1744.193;1870.054;
1556093981;2019-04-24-12:19;+27.8;+29.8;+49.0;+49.0;+47.0;3499.998;3500.007;3499.999;3499.999;
1556093984;2019-04-24-12:19;+27.8;+29.8;+37.0;+36.0;+36.0;800.005;800.004;800.003;800.000;
1556093987;2019-04-24-12:19;+27.8;+29.8;+36.0;+35.0;+36.0;800.039;800.007;800.027;800.006;
1556093990;2019-04-24-12:19;+27.8;+29.8;+37.0;+35.0;+35.0;800.002;800.002;800.003;800.005;
1556093993;2019-04-24-12:19;+27.8;+29.8;+37.0;+36.0;+36.0;899.807;898.392;899.801;896.917;
1556093996;2019-04-24-12:19;+27.8;+29.8;+55.0;+55.0;+42.0;3499.999;3500.052;3500.002;3500.025;
1556093999;2019-04-24-12:19;+27.8;+29.8;+40.0;+38.0;+39.0;1100.003;1100.080;1100.016;1100.009;
1556094002;2019-04-24-12:20;+27.8;+29.8;+36.0;+35.0;+35.0;800.010;800.006;800.022;800.009;
1556094005;2019-04-24-12:20;+27.8;+29.8;+36.0;+35.0;+34.0;800.006;800.004;800.005;800.004;
1556094008;2019-04-24-12:20;+27.8;+29.8;+50.0;+50.0;+48.0;3200.050;3200.008;3200.008;3200.030;
1556094011;2019-04-24-12:20;+27.8;+29.8;+38.0;+36.0;+37.0;1600.016;1600.010;1600.005;1600.012;
1556094014;2019-04-24-12:20;+27.8;+29.8;+57.0;+57.0;+47.0;3500.012;3500.012;3500.000;3500.004;
1556094017;2019-04-24-12:20;+27.8;+29.8;+56.0;+56.0;+45.0;3500.008;3500.017;3500.002;3499.999;
1556094020;2019-04-24-12:20;+27.8;+29.8;+41.0;+41.0;+40.0;1500.000;1500.001;1500.005;1500.006;
1556094024;2019-04-24-12:20;+27.8;+29.8;+38.0;+38.0;+37.0;900.001;900.001;900.014;900.003;
1556094027;2019-04-24-12:20;+27.8;+29.8;+38.0;+37.0;+37.0;1200.000;1200.019;1200.003;1200.036;
1556094030;2019-04-24-12:20;+27.8;+29.8;+48.0;+48.0;+48.0;3500.014;3500.005;3500.010;3500.003;
1556094033;2019-04-24-12:20;+27.8;+29.8;+41.0;+41.0;+38.0;2574.271;2562.774;2506.096;2520.827;
1556094036;2019-04-24-12:20;+27.8;+29.8;+49.0;+49.0;+43.0;2600.052;2599.942;2600.027;2600.009;
1556094039;2019-04-24-12:20;+27.8;+29.8;+39.0;+37.0;+37.0;800.015;800.003;800.009;800.007;
1556094042;2019-04-24-12:20;+27.8;+29.8;+60.0;+48.0;+60.0;3500.018;3499.999;3500.002;3500.001;
1556094045;2019-04-24-12:20;+27.8;+29.8;+38.0;+37.0;+37.0;800.000;800.018;800.005;800.008;
1556094048;2019-04-24-12:20;+27.8;+29.8;+37.0;+36.0;+36.0;800.002;800.006;800.010;800.006;
1556094051;2019-04-24-12:20;+27.8;+29.8;+60.0;+60.0;+45.0;3500.001;3500.107;3500.000;3500.015;
1556094054;2019-04-24-12:20;+27.8;+29.8;+61.0;+61.0;+58.0;3500.000;3500.003;3500.007;3500.000;
1556094057;2019-04-24-12:20;+27.8;+29.8;+38.0;+37.0;+37.0;1600.034;1596.257;1600.005;1596.902;
1556094060;2019-04-24-12:21;+27.8;+29.8;+37.0;+35.0;+36.0;799.999;800.005;800.001;800.003;
1556094063;2019-04-24-12:21;+27.8;+29.8;+54.0;+54.0;+44.0;3500.010;3500.006;3500.004;3500.092;
1556094066;2019-04-24-12:21;+27.8;+29.8;+37.0;+36.0;+36.0;900.008;900.002;900.002;899.998;
1556094069;2019-04-24-12:21;+27.8;+29.8;+54.0;+54.0;+46.0;2649.236;3353.403;2480.490;3259.887;
1556094072;2019-04-24-12:21;+27.8;+29.8;+39.0;+38.0;+39.0;800.002;800.038;800.003;800.006;
1556094075;2019-04-24-12:21;+27.8;+29.8;+36.0;+35.0;+35.0;800.005;800.045;800.008;800.050;
1556094078;2019-04-24-12:21;+27.8;+29.8;+53.0;+51.0;+53.0;3500.002;3500.004;3500.001;3500.007;
1556094081;2019-04-24-12:21;+27.8;+29.8;+37.0;+36.0;+36.0;900.002;899.998;900.012;900.001;
1556094084;2019-04-24-12:21;+27.8;+29.8;+50.0;+46.0;+50.0;3500.024;3500.006;3500.035;3500.006;
1556094087;2019-04-24-12:21;+27.8;+29.8;+38.0;+36.0;+35.0;800.027;800.005;800.034;799.999;
1556094090;2019-04-24-12:21;+27.8;+29.8;+61.0;+61.0;+46.0;3499.996;3500.005;3500.000;3499.998;
1556094093;2019-04-24-12:21;+27.8;+29.8;+45.0;+45.0;+44.0;3200.045;3200.010;3200.005;3200.005;
1556094096;2019-04-24-12:21;+27.8;+29.8;+37.0;+36.0;+35.0;800.018;800.008;800.021;800.013;
1556094099;2019-04-24-12:21;+27.8;+29.8;+61.0;+54.0;+61.0;3500.001;3500.000;3499.999;3500.045;
1556094102;2019-04-24-12:21;+27.8;+29.8;+37.0;+36.0;+36.0;1199.999;1200.013;1200.001;1200.054;
1556094106;2019-04-24-12:21;+27.8;+29.8;+39.0;+37.0;+37.0;844.918;857.358;847.404;834.810;
1556094109;2019-04-24-12:21;+27.8;+29.8;+55.0;+55.0;+50.0;3500.011;3500.003;3500.011;3500.005;
1556094112;2019-04-24-12:21;+27.8;+29.8;+37.0;+36.0;+35.0;800.002;800.006;800.005;800.003;
1556094115;2019-04-24-12:21;+27.8;+29.8;+38.0;+37.0;+36.0;900.005;900.011;900.003;900.011;
1556094118;2019-04-24-12:21;+27.8;+29.8;+44.0;+44.0;+41.0;2600.008;2600.042;2600.008;2600.153;
1556094121;2019-04-24-12:22;+27.8;+29.8;+37.0;+35.0;+36.0;800.009;800.031;800.021;800.008;
1556094124;2019-04-24-12:22;+27.8;+29.8;+65.0;+65.0;+50.0;3499.845;3500.012;3500.001;3500.002;
1556094127;2019-04-24-12:22;+27.8;+29.8;+58.0;+48.0;+58.0;3500.003;3500.002;3500.004;3500.001;
1556094130;2019-04-24-12:22;+27.8;+29.8;+38.0;+38.0;+37.0;1400.005;1400.024;1400.029;1400.041;
1556094133;2019-04-24-12:22;+27.8;+29.8;+37.0;+36.0;+35.0;800.005;800.009;800.027;800.032;
1556094136;2019-04-24-12:22;+27.8;+29.8;+36.0;+36.0;+35.0;800.005;800.009;800.008;800.007;
1556094139;2019-04-24-12:22;+27.8;+29.8;+53.0;+47.0;+53.0;1021.193;2194.994;1089.226;981.117;
1556094142;2019-04-24-12:22;+27.8;+29.8;+37.0;+36.0;+36.0;908.702;902.938;912.242;908.525;
1556094145;2019-04-24-12:22;+27.8;+29.8;+37.0;+35.0;+36.0;800.007;800.007;799.998;800.035;
1556094148;2019-04-24-12:22;+27.8;+29.8;+37.0;+36.0;+36.0;800.010;800.001;800.007;800.007;
1556094151;2019-04-24-12:22;+27.8;+29.8;+36.0;+35.0;+36.0;800.004;800.007;800.008;800.007;
1556094154;2019-04-24-12:22;+27.8;+29.8;+37.0;+35.0;+35.0;1012.636;1158.761;1015.213;1222.291;
1556094157;2019-04-24-12:22;+27.8;+29.8;+41.0;+41.0;+40.0;1400.003;1399.997;1400.003;1400.003;
1556094160;2019-04-24-12:22;+27.8;+29.8;+49.0;+44.0;+49.0;3299.991;3300.014;3300.150;3300.011;
1556094163;2019-04-24-12:22;+27.8;+29.8;+40.0;+37.0;+39.0;2600.058;2600.008;2600.137;2600.005;
1556094166;2019-04-24-12:22;+27.8;+29.8;+37.0;+35.0;+35.0;800.012;800.046;800.005;800.003;
1556094169;2019-04-24-12:22;+27.8;+29.8;+42.0;+42.0;+41.0;2000.009;2000.008;2000.007;2000.008;
1556094172;2019-04-24-12:22;+27.8;+29.8;+42.0;+42.0;+41.0;2262.928;2265.061;2298.311;2267.423;
1556094175;2019-04-24-12:22;+27.8;+29.8;+39.0;+38.0;+37.0;896.911;899.803;878.786;899.776;
1556094178;2019-04-24-12:22;+27.8;+29.8;+40.0;+38.0;+39.0;808.039;805.566;814.516;810.633;
1556094182;2019-04-24-12:23;+27.8;+29.8;+37.0;+36.0;+36.0;800.027;799.997;800.018;800.010;
1556094185;2019-04-24-12:23;+27.8;+29.8;+41.0;+41.0;+41.0;2600.049;2599.993;2600.075;2600.005;
1556094188;2019-04-24-12:23;+27.8;+29.8;+37.0;+36.0;+36.0;800.120;800.007;800.010;800.010;
1556094191;2019-04-24-12:23;+27.8;+29.8;+50.0;+50.0;+49.0;3500.009;3500.011;3499.952;3500.001;
1556094194;2019-04-24-12:23;+27.8;+29.8;+37.0;+36.0;+36.0;800.004;800.004;800.001;800.000;
1556094197;2019-04-24-12:23;+27.8;+29.8;+41.0;+41.0;+40.0;2000.013;2000.011;2000.007;2000.019;
1556094200;2019-04-24-12:23;+27.8;+29.8;+38.0;+37.0;+37.0;800.007;800.038;800.005;800.009;
1556094203;2019-04-24-12:23;+27.8;+29.8;+39.0;+37.0;+37.0;800.017;800.024;800.121;800.031;
1556094206;2019-04-24-12:23;+27.8;+29.8;+37.0;+36.0;+36.0;800.019;800.006;800.034;800.023;
1556094209;2019-04-24-12:23;+27.8;+29.8;+62.0;+58.0;+62.0;3500.016;3499.983;3500.005;3500.000;
1556094212;2019-04-24-12:23;+27.8;+29.8;+42.0;+42.0;+40.0;2300.033;2300.002;2300.006;2300.001;
1556094215;2019-04-24-12:23;+27.8;+29.8;+66.0;+66.0;+58.0;3500.010;3500.007;3500.001;3500.003;
1556094218;2019-04-24-12:23;+27.8;+29.8;+53.0;+53.0;+47.0;3495.508;3494.500;3496.026;3500.002;
1556094221;2019-04-24-12:23;+27.8;+29.8;+39.0;+37.0;+38.0;2100.074;2100.005;2100.029;2100.002;
1556094224;2019-04-24-12:23;+27.8;+29.8;+37.0;+36.0;+35.0;800.010;800.022;800.031;800.006;
1556094227;2019-04-24-12:23;+27.8;+29.8;+37.0;+36.0;+36.0;800.004;800.020;800.021;800.006;
1556094230;2019-04-24-12:23;+27.8;+29.8;+39.0;+38.0;+38.0;800.006;800.028;800.014;800.006;
1556094233;2019-04-24-12:23;+27.8;+29.8;+38.0;+36.0;+36.0;1100.008;1100.005;1100.022;1100.005;
1556094236;2019-04-24-12:23;+27.8;+29.8;+37.0;+35.0;+36.0;800.006;800.006;800.004;800.002;
1556094239;2019-04-24-12:23;+27.8;+29.8;+55.0;+51.0;+55.0;3471.398;3483.363;3474.380;3496.982;
1556094242;2019-04-24-12:24;+27.8;+29.8;+49.0;+49.0;+49.0;3492.884;3499.183;3498.249;3499.203;
1556094245;2019-04-24-12:24;+27.8;+29.8;+38.0;+36.0;+37.0;800.025;800.030;800.004;800.057;
1556094248;2019-04-24-12:24;+27.8;+29.8;+37.0;+35.0;+35.0;800.029;800.069;800.007;800.012;
1556094251;2019-04-24-12:24;+27.8;+29.8;+37.0;+35.0;+35.0;800.000;800.008;800.006;800.009;
1556094254;2019-04-24-12:24;+27.8;+29.8;+40.0;+38.0;+39.0;800.012;800.006;800.030;800.006;
1556094258;2019-04-24-12:24;+27.8;+29.8;+37.0;+35.0;+35.0;814.419;815.855;800.413;803.192;
1556094261;2019-04-24-12:24;+27.8;+29.8;+56.0;+52.0;+56.0;3500.000;3500.002;3500.007;3500.001;
1556094264;2019-04-24-12:24;+27.8;+29.8;+38.0;+36.0;+35.0;861.844;869.931;879.105;863.402;
1556094267;2019-04-24-12:24;+27.8;+29.8;+38.0;+37.0;+36.0;899.999;900.003;900.002;900.006;
1556094270;2019-04-24-12:24;+27.8;+29.8;+38.0;+37.0;+37.0;1360.710;1356.289;1357.174;1363.178;
1556094273;2019-04-24-12:24;+27.8;+29.8;+37.0;+36.0;+36.0;800.000;800.006;800.001;800.007;
1556094276;2019-04-24-12:24;+27.8;+29.8;+37.0;+36.0;+35.0;2038.817;1906.180;1812.811;1810.548;
1556094279;2019-04-24-12:24;+27.8;+29.8;+38.0;+36.0;+36.0;1100.013;1100.007;1100.010;1100.004;
1556094282;2019-04-24-12:24;+27.8;+29.8;+37.0;+36.0;+35.0;900.004;900.002;900.006;899.999;
1556094285;2019-04-24-12:24;+27.8;+29.8;+37.0;+36.0;+36.0;800.006;800.033;800.010;800.006;
1556094288;2019-04-24-12:24;+27.8;+29.8;+37.0;+35.0;+35.0;800.012;800.028;800.030;800.056;
1556094291;2019-04-24-12:24;+27.8;+29.8;+37.0;+35.0;+35.0;957.188;1047.464;1066.272;958.072;
1556094294;2019-04-24-12:24;+27.8;+29.8;+36.0;+35.0;+35.0;799.999;800.001;800.003;800.003;
1556094297;2019-04-24-12:24;+27.8;+29.8;+38.0;+36.0;+35.0;871.015;885.336;872.050;837.487;
1556094300;2019-04-24-12:25;+27.8;+29.8;+38.0;+38.0;+37.0;2100.008;2100.002;2100.008;2100.007;
1556094303;2019-04-24-12:25;+27.8;+29.8;+37.0;+35.0;+35.0;822.257;800.020;811.911;814.551;
1556094306;2019-04-24-12:25;+27.8;+29.8;+47.0;+47.0;+43.0;900.568;1573.675;881.463;2000.274;
1556094309;2019-04-24-12:25;+27.8;+29.8;+37.0;+35.0;+36.0;800.091;800.011;800.008;800.007;
1556094312;2019-04-24-12:25;+27.8;+29.8;+51.0;+51.0;+50.0;3500.006;3500.011;3500.002;3500.001;
1556094315;2019-04-24-12:25;+27.8;+29.8;+37.0;+36.0;+35.0;900.003;900.003;900.006;899.998;
1556094318;2019-04-24-12:25;+27.8;+29.8;+57.0;+57.0;+44.0;3500.000;3500.009;3500.001;3500.007;
1556094321;2019-04-24-12:25;+27.8;+29.8;+38.0;+36.0;+36.0;900.004;900.000;900.004;900.001;
1556094324;2019-04-24-12:25;+27.8;+29.8;+37.0;+36.0;+35.0;816.352;814.533;810.485;819.500;
1556094328;2019-04-24-12:25;+27.8;+29.8;+37.0;+36.0;+35.0;1199.589;1199.093;1022.982;1186.515;
1556094331;2019-04-24-12:25;+27.8;+29.8;+38.0;+37.0;+37.0;900.022;900.017;900.019;900.024;
1556094334;2019-04-24-12:25;+27.8;+29.8;+37.0;+35.0;+36.0;800.006;800.012;800.005;800.022;
1556094337;2019-04-24-12:25;+27.8;+29.8;+64.0;+64.0;+53.0;3500.003;3500.003;3500.002;3500.030;
1556094340;2019-04-24-12:25;+27.8;+29.8;+37.0;+36.0;+35.0;813.808;806.104;810.013;809.747;
1556094343;2019-04-24-12:25;+27.8;+29.8;+41.0;+39.0;+39.0;1100.003;1100.005;1100.003;1100.008;
1556094346;2019-04-24-12:25;+27.8;+29.8;+41.0;+41.0;+39.0;2300.025;2300.011;2300.490;2300.007;
1556094349;2019-04-24-12:25;+27.8;+29.8;+37.0;+36.0;+36.0;845.460;801.505;808.962;824.961;
1556094352;2019-04-24-12:25;+27.8;+29.8;+38.0;+36.0;+36.0;800.011;800.008;800.046;800.003;
1556094355;2019-04-24-12:25;+27.8;+29.8;+38.0;+38.0;+35.0;3114.524;3115.192;3203.297;3362.516;
