ts;Time;temp1;temp2;Package id 0;Core 0;Core 1
1554129159;2019-04-01:18:32;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129162;2019-04-01:18:32;+27.8;	+29.8;	+61.0;	+61.0;	+60.0
1554129165;2019-04-01:18:32;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129168;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129171;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129174;2019-04-01:18:32;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129177;2019-04-01:18:32;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129180;2019-04-01:18:33;+27.8;	+29.8;	+62.0;	+62.0;	+60.0
1554129183;2019-04-01:18:33;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129186;2019-04-01:18:33;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129189;2019-04-01:18:33;+27.8;	+29.8;	+60.0;	+60.0;	+59.0
1554129192;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129195;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129198;2019-04-01:18:33;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129201;2019-04-01:18:33;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129204;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+60.0
1554129207;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+60.0
1554129210;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129213;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+58.0
1554129216;2019-04-01:18:33;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129219;2019-04-01:18:33;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129222;2019-04-01:18:33;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129225;2019-04-01:18:33;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129228;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129231;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129234;2019-04-01:18:33;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129237;2019-04-01:18:33;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129240;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129243;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129247;2019-04-01:18:34;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129250;2019-04-01:18:34;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129253;2019-04-01:18:34;+27.8;	+29.8;	+61.0;	+61.0;	+60.0
1554129256;2019-04-01:18:34;+27.8;	+29.8;	+62.0;	+62.0;	+60.0
1554129259;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129262;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129265;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129268;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129271;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129274;2019-04-01:18:34;+27.8;	+29.8;	+62.0;	+62.0;	+60.0
1554129277;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129280;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129283;2019-04-01:18:34;+27.8;	+29.8;	+62.0;	+62.0;	+58.0
1554129286;2019-04-01:18:34;+27.8;	+29.8;	+62.0;	+62.0;	+59.0
1554129289;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129292;2019-04-01:18:34;+27.8;	+29.8;	+62.0;	+62.0;	+60.0
1554129295;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129298;2019-04-01:18:34;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129301;2019-04-01:18:35;+27.8;	+29.8;	+62.0;	+62.0;	+61.0
1554129304;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129307;2019-04-01:18:35;+27.8;	+29.8;	+61.0;	+61.0;	+59.0
1554129310;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129313;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129316;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129319;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129322;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129326;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129329;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129332;2019-04-01:18:35;+27.8;	+29.8;	+64.0;	+64.0;	+59.0
1554129335;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129338;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129341;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129344;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129347;2019-04-01:18:35;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129350;2019-04-01:18:35;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129353;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129357;2019-04-01:18:35;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129360;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129363;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129366;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129369;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129372;2019-04-01:18:36;+27.8;	+29.8;	+65.0;	+65.0;	+61.0
1554129375;2019-04-01:18:36;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129378;2019-04-01:18:36;+27.8;	+29.8;	+64.0;	+64.0;	+59.0
1554129381;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129384;2019-04-01:18:36;+27.8;	+29.8;	+62.0;	+62.0;	+60.0
1554129387;2019-04-01:18:36;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129390;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129393;2019-04-01:18:36;+27.8;	+29.8;	+64.0;	+64.0;	+57.0
1554129396;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129399;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129402;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+59.0
1554129405;2019-04-01:18:36;+27.8;	+29.8;	+64.0;	+64.0;	+61.0
1554129408;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129411;2019-04-01:18:36;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129414;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129417;2019-04-01:18:36;+27.8;	+29.8;	+63.0;	+63.0;	+61.0
1554129420;2019-04-01:18:37;+27.8;	+29.8;	+64.0;	+64.0;	+60.0
1554129423;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+64.0;	+61.0
1554129426;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
1554129429;2019-04-01:18:37;+27.8;	+29.8;	+63.0;	+63.0;	+60.0
